NoA:10, NoC:10, NoS:2
STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH     | OUT 
    |             |                     |C00Y           |                         |         |    
    |     C01     |                     |               |                         |         |    
    |             | A01Y                |               |                         |         |    
    |             |                     |     C00Y      |                         |         |    
    |             |      C02            |               |                         |         |    
    |             |                     |A01Y           |                         |         |    
    |             |      C02R           |               |                         |         |    
    |             |                     |               |A00Y                     |         |    
    |         A02 |                     |               |                         |         |    
    |             |                     |          A01Y |                         |         |    
    |             |                     |C02R           |                         |         |    
    |             | A04                 |               |                         |         |    
    |             |                     |     C02R      |                         |         |    
    |             | A04Y                |               |                         |         |    
    |             |                     |               |C00Y                     |         |    
    |     C03     |                     |               |                         |         |    
    |             |                     |A04Y           |                         |         |    
    |             |                     |               |               A00Y      |         |    
    |             | C01                 |               |                         |         |    
    |             |                     |          A04Y |                         |         |    
    |             | C01R                |               |                         |         |    
    |             |                     |               |A01Y                     |         |    
    |         A07 |                     |               |                         |         |    
    |             |                     |C01R           |                         |         |    
    |             | A02                 |               |                         |         |    
    |             |                     |               |     C00Y                |         |    
    |             |                     |               |                         | A00-0   |    
    |             |                     |     C01R      |                         |         |    
    |             | A02Y                |               |                         |         |    
    |             |                     |               |                         |         | A00-0
    |             |                     |               |C02R                     |         |    
    |     C04     |                     |               |                         |         |    
    |             |                     |A02Y           |                         |         |    
    |             |                     |               |               A01Y      |         |    
    |             | C03                 |               |                         |         |    
    |             |                     |          A02Y |                         |         |    
    |             | C03Y                |               |                         |         |    
    |             |                     |               |                         | C00-1   |    
SUS |             |                     |               |                         |         |    
    |             |                     |               |                         |         | C00-1
RUN |             |                     |               |                         |         |    
    |             |                     |               |A04Y                     |         |    
    |             |                     |C03Y           |                         |         |    
    |         A06 |                     |               |                         |         |    
    |             |                     |               |                         | A01-2   |    
    |             | A07                 |               |                         |         |    
    |             |                     |               |     C02R                |         |    
    |             |                     |     C03Y      |                         |         |    
    |             |                     |               |                         |         | A01-2
    |             | A07B                |               |                         |         |    
    |             |                     |               |C01R                     |         |    
    |     C05     |                     |               |                         |         |    
    |             |                     |A07B           |                         |         |    
    |             |                     |               |               A04Y      |         |    
    |             | C04                 |               |                         |         |    
    |             |                     |          A07B |                         |         |    
    |             |                     |               |                         | C02-3   |    
    |             | C04B                |               |                         |         |    
    |             |                     |               |                         |         | C02-3
    |             |                     |               |A02Y                     |         |    
    |         A03 |                     |               |                         |         |    
    |             |                     |C04B           |                         |         |    
    |             | A06                 |               |                         |         |    
    |             |                     |               |     C01R                |         |    
    |             |                     |     C04B      |                         |         |    
    |             |                     |               |                         | A04-4   |    
    |             | A06R                |               |                         |         |    
    |             |                     |               |                         |         | A04-4
    |             |                     |               |C03Y                     |         |    
    |     C06     |                     |               |                         |         |    
    |             |                     |A06R           |                         |         |    
    |             |                     |               |               A02Y      |         |    
    |             | C05                 |               |                         |         |    
    |             |                     |          A06R |                         |         |    
    |             |                     |               |                         | C01-5   |    
    |             | C05B                |               |                         |         |    
    |             |                     |               |                         |         | C01-5
    |             |                     |               |A07B                     |         |    
